,Aegis Premier Technologies,Data Scientist / Predictive Analytics Professional,,
,SPECTRUM,Senior Data Scientist,,3.4
,"Perceptronics Solutions, Inc",AI/Machine Learning Research Scientist,,
"Broomfield, CO",Danone,"Customer Collaboration, Data Scientist",,4.2
"Denver, CO",Pilot Flying J,Data Scientist,,3.3
"Cheyenne, WY",Pearson,Data Scientist,,3.8
"Broomfield, CO",Pricesenz,Data Scientist,$50 - $60 an hour,
"Denver, CO 80202 (Union Station area)",McKinsey & Company,"Data Scientist, Agriculture and Commodities",,4.3
"Denver, CO",LogistiCare,Data Scientist- NLP,,3.0
"Denver, CO",Waystar,Data Scientist,,2.7
"Denver, CO",Creative Radicals,Data Scientist,,
"Denver, CO 80238",Frontdoor,Data Scientist,,
"Denver, CO 80202 (Union Station area)",AirDNA,Data Scientist,,
,The Mom Project,Data Scientist - Image and Video Analytics,"$135,000 a year",
,ClientSolv Technologies,Data Scientist,,4.0
,Global Fishing Watch,Data Scientist,$45 - $65 an hour,
,Blue Owl,Data Scientist,"$250,000 - $375,000 a year",
,BICP,Senior Data Scientist,"$160,000 - $180,000 a year",5.0
,Intuit,Staff Data Scientist,,4.2
"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,Data Scientist,,4.2
"San Francisco, CA 94103 (South of Market area)",Uber,"Data Scientist, Legal Policy & Economics",,3.8
"San Francisco, CA",Stitch Fix,Data Scientist - Shop Recommendations,,3.3
"San Francisco, CA",Wish,"Data Scientist, Merchandising Strategy",,3.8
"San Francisco, CA",Avila Trading,Data scientist,,
"San Francisco, CA",0x,Data Scientist,,
"San Francisco, CA",Beatdapp,Data Scientist (Top 20 Music Company Globally on Crunchbase),,
"San Francisco, CA",Facebook,"Data Scientist, Analytics - Instagram Business Ecosystem",,4.2
"San Francisco, CA 94105 (South Beach area)",Virta Health,"Data Scientist, Insights and Analytics",,4.8
"San Francisco, CA",PACT Pharma,Data Analytics Scientist,,
"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,Research Data Scientist,,4.2
,Lockheed Martin,Data Scientist / Machine Learning / DL / AI,,4.0
,Talent Acquisition Québec,Data Scientist at IBM (Visa Sponsorship for Canada),,
,NYC Data Science Academy,Data Scientist/Data Science Instructor,,4.6
,Lockheed Martin,"Data Scientist / Machine Learning / DL / AI - C++ / CUDA / Syracuse, N",,4.0
"Brooklyn, NY 11201",Etsy,Data Scientist,,4.4
"Manhattan, NY",VISITING NURSE SERVICE OF NEW YORK,Data Scientist Intern,,3.6
"Brooklyn, NY 11201",Etsy,"Data Scientist, Analytics",,4.4
"New York, NY",Source Enterprises,Data Scientist,,4.3
"New York, NY 10013 (Tribeca area)",1-800-Flowers,Junior Data Scientist,,3.7
